archetype,total_insert_events,total_delete_events,total_copy_events,total_paste_events,avg_paste_length,max_paste_length,paste_to_insert_ratio,undo_events,redo_events,run_compile_events,avg_typing_speed,typing_burst_count,typing_pause_frequency,avg_pause_duration,longest_pause,key_latency_mean,key_latency_variance,paste_after_idle_time,typing_vs_paste_ratio,code_edit_distance,total_code_versions,avg_lines_added_per_revision,avg_lines_removed_per_revision,refactor_frequency,compile_error_count,error_fix_time,code_rewrite_ratio,function_rewrite_count,comment_addition_count,total_prompts_sent,avg_prompt_length,max_prompt_length,prompt_similarity_to_problem,prompt_refinement_count,prompt_entropy,clarification_prompt_ratio,solution_request_ratio,debugging_prompt_ratio,ai_response_acceptance_rate,ai_output_edit_distance,prompt_to_code_latency,session_duration,time_to_first_code,time_to_first_ai_prompt,ai_usage_early_ratio,ai_usage_late_ratio,iteration_cycle_count,avg_cycle_duration,focus_switch_count,browser_to_editor_ratio,idle_ratio
Prompt Engineer Solver,3219.024,455.0,7.0,33.0,34.0,70.0,0.0312,6.0,1.0,5.0,51.6,30.0,31.0,11.0,35.8,232.6,139.0,61.579,4.697,0.12,13.576,19.0,9.0,0.0,1.899,35.9,0.4236160041506897,0.0,11.0,12.0,334.762,200.0,0.428,5.0,0.397,0.169,0.731,0.5115529920417882,0.626,0.887,56.3,1.0,61.292,436.0,0.54,0.218,4.0,535.6,40.936,0.314,0.252
Independent Solver,1439.0,2784.904,15.734,0.0,48.0,64.0,0.0,19.0,5.0,17.0,90.4,56.0,44.0,1.0,32.5,132.7,39.1,9.4,1.0,0.358,16.0,5.0,2.0,34.165,1.0,5.4,0.578,3.0,21.311,3.0,5.0,8.0,0.146,0.0,0.499,0.541,0.381,0.294,0.139,0.495,33.5,2308.0,96.0,1125.319,0.193,0.036,11.0,192.3,4.0,0.272,0.278
Structured Collaborator,662.0,348.0,111.139,24.0,45.0,55.0,0.0085124072691546,3.0,0.0,10.238,39.4,20.0,46.721,17.2,34.7,304.6,770.793,89.967,1.0,0.442,8.0,21.0,8.0,0.0,1.0,69.6,0.2915819714385538,0.0,10.0,8.0,20.0,49.0,0.457,4.0,0.579,0.114,0.81,0.394,0.617,0.696,62.5,2203.0,268.0,425.0,0.448,0.504,3.0,550.8,10.0,0.484,0.574
AI-Dependent Constructor,545.0,76.0,0.0,160.426,174.0,519.0,0.1227,4.0,0.0,2.0,18.3,22.0,61.102,27.6,72.7,655.7,1492.063,37.2,0.234,0.266,2.0,20.0,11.0,7.0,1.0,53.43,0.073,2.845,2.0,26.0,23.0,124.67,0.763,1.0,0.231,0.111,0.856,0.107,0.74,0.044,17.6,1406.0,43.0,29.936,0.744,0.583,4.0,281.2,33.0,0.754,0.712
Independent Solver,1457.0,596.0,2.0,0.0,72.553,44.0,0.0,29.0,25.987,13.0,111.8,70.0,69.459,8.2,33.5,107.3,20.849,13.5,10.0,0.721,11.0,9.0,5.0,8.0,4.0,-16.1,0.567,11.943,0.0,0.0,5.0,7.0,0.041,1.0,0.335,1.0,0.327,0.397,0.103,0.227,19.6,1.0,117.0,1535.0,0.113,0.099,2.0,762.7,0.0,0.228,0.245
Independent Solver,1371.0,557.0,10.0,1.0,0.0,0.0,0.0007,19.0,2.0,21.0,296.057,43.0,70.297,-2.2,-4.9,163.5,125.1,-2.7,10.0,0.726,19.0,2.0,1.0,13.0,12.0,45.9,0.691,3.0,0.0,4.0,9.0,13.0,-0.042,0.0,0.406,0.548,0.437,0.106,0.073,0.266,32.1,1.0,166.0,1445.0,0.081,0.46808386134431035,2.0,936.0,5.0,0.06611360423664354,0.104
AI-Dependent Constructor,266.0,87.0,0.0,65.0,155.0,207.0,0.2434,0.0,0.0,9.0,35.8,9.0,9.0,31.7,92.0,335.2,204.1,38.8,0.132,0.266,10.0,13.0,2.0,8.85,4.0,283.121,0.176,0.0,3.0,93.496,5.0,13.0,1.712,0.0,0.537,0.10246642873526543,0.5919522639788358,0.306,0.928,0.044,21.894,1.0,34.0,10.0,0.864,0.252,12.0,101.1,54.0,0.723,0.76
Iterative Debugger,1974.0,811.0,5.0,19.0,46.0,89.0,0.0096,16.0,6.0,37.0,95.8,93.0,80.0,2.7,14.0,125.3,182.532,13.9,10.0,0.516,47.0,7.0,3.0,12.0,9.0,21.5,0.613,5.0,3.0,0.0,1.473,6.0,0.011,0.0,0.341,0.785,0.181,1.0,0.3544855167752245,0.346,29.9,3433.0,126.0,1443.0,0.092,0.413,3.0,1.0,0.0,0.258,0.294
Prompt Engineer Solver,703.0,343.0,17.0,14.0,127.0,1205.432,0.0199,0.0,0.0,2.594,56.8,21.0,114.11,8.4,25.0,263.242,87.5,21.6,1.976,0.133,5.0,20.0,11.0,3.0,2.316,77.3,0.46443287491869856,0.0,41.881,15.0,54.0,124.0,1.519,6.0,0.548,0.282,1.0,0.368,0.699,0.829,60.2,2646.0,357.0,321.0,0.553,1.0,3.0,661.5,68.831,0.9252513453381237,0.644
Structured Collaborator,836.0,381.0,27.0,8.0,109.0,213.0,0.0096,4.0,1.0,1.0,74.0,48.0,64.0,4.6,13.3,162.2,49.2,10.3,4.788,0.325,2.265,20.0,5.0,0.0,0.0,30.01,0.192,0.0,35.144,13.0,23.0,66.0,0.272,4.0,1.673,0.231,0.769,0.356,0.13091659301278089,0.798,50.2,1915.0,353.0,331.0,1.0,1.0,0.7516000875019295,1.0,32.0,0.563,0.575
Blind Copier,32.0,58.714,2.0,52.0,572.933,3106.754,1.0,15.0,3.0,13.716,16.9,4.247,3.0,20.8,42.5,710.1,451.8,38.0,0.009,0.292,5.0,22.0,13.0,2.0,1.0,118.6,0.102,0.0,4.0,20.0,35.0,103.0,0.643,1.0,0.569,0.147,0.832,0.209,0.4416397375886467,0.017,29.9,1529.0,73.0,27.0,0.83,0.229,2.0,509.7,107.29,0.541,0.558
Structured Collaborator,546.0,183.0,69.771,24.0,37.0,70.0,0.0439,1.0,0.0,5.0,46.8,23.567,21.0,1.0,185.515,256.4,103.1,11.86,3.071,0.289,29.64,11.0,5.0,3.0,2.0,75.4,0.092,0.0,12.0,13.0,16.0,32.0,0.481,4.0,0.596,0.284,0.683,0.167,0.498,0.676,71.4,3071.0,279.0,224.0,0.397,0.373,1.0,511.8,16.0,0.491,0.562
Structured Collaborator,889.0,338.0,19.0,52.789,220.403,127.0,0.0124,0.0,0.0,3.0,57.1,41.0,29.0,15.5,61.1,210.2,164.7,11.0,8.067,0.145,8.789,23.0,14.0,0.0,1.0,11.0,0.06,0.0,31.932,11.0,11.0,22.0,0.616,6.0,0.25,0.206,0.713,0.253,0.576,0.604,67.7,2232.0,329.0,113.0,1.0,0.218,2.0,744.0,16.0,0.518,0.433
Independent Solver,2499.252,597.0,2.0,8.0,2.0,4.0,0.0052,31.0,4.0,78.917,406.109,44.0,15.418,8.3,54.644,137.5,140.326,8.9,10.0,0.211,9.655,2.0,0.0,8.0,6.0,123.044,0.446,3.0,2.0,5.0,5.0,12.0,0.153,0.0,1.908,1.0,0.8509507258525683,0.357,0.145,0.246,31.3,2190.0,84.0,1685.0,0.053,0.034,3.0,547.5,6.0,0.9421622131491846,0.239
AI-Dependent Constructor,1849.5,84.0,5.0,44.0,162.0,280.0,0.28324090946458935,4.0,4.064,17.0,33.9,14.0,14.0,21.9,100.6,354.0,172.3,29.4,0.316,0.272,19.0,17.0,5.0,0.0,9.0,56.4,0.157,0.0,2.765,27.0,13.0,46.718,0.512,2.388,0.223,0.299,0.644,0.367,0.928,0.055,-2.5,2104.0,10.0,21.0,0.889,0.273,59.0,35.1,35.0,0.798,0.816
Prompt Engineer Solver,838.0,364.832,12.0,34.753,92.0,234.0,0.0226,8.0,1.0,8.0,41.6,24.0,18.0,3.4,31.477,288.5,601.438,6.3,2.396,0.301,7.0,67.157,10.0,16.978,2.0,114.365,0.078,1.0,30.207,13.0,60.0,137.0,0.198,5.0,0.406,0.183,0.797,0.282,0.653,0.765,55.4,1989.0,321.0,438.0,0.445,0.309,1.0,663.0,26.0,0.437,0.391
Prompt Engineer Solver,625.0,332.0,14.0,39.0,47.0,82.0,0.1323086285938168,5.0,1.0,11.0,60.4,17.0,21.0,11.6,38.0,198.7,360.466,8.5,1.704,0.39,9.0,14.0,6.453,1.0,4.0,64.6,0.067,0.0,11.0,12.0,214.264,353.747,0.383,3.0,0.445,0.222,0.769,0.165,0.498,0.791,54.5,1.0,321.0,339.0,1.0,0.376,1.0,729.0,20.0,0.31583702169015515,0.418
Independent Solver,1617.0,678.0,6.0,24.0,21.0,50.0,0.0148,31.0,11.0,21.79,144.248,46.0,62.0,6.2,14.1,136.4,95.6,19.9,10.0,0.345,2.945,14.0,9.0,12.815,15.46,41.9,0.608,4.0,1.0,6.0,26.58,17.0,0.044,0.0,0.748,0.615,0.2967391801058175,0.258,0.27,0.281,32.1,3234.0,102.0,1405.0,0.045,0.156,5.0,539.0,10.0,0.239,0.283
Prompt Engineer Solver,194.0,147.0,19.0,18.0,0.0,0.0,0.0923,10.0,2.0,1.0,52.1,5.0,3.0,7.2,30.7,977.372,192.141,9.8,10.0,0.186,1.0,23.0,9.0,0.0,0.0,27.675,0.172,0.0,11.0,17.0,52.0,99.0,0.376,4.0,0.543,0.0683805383454968,0.826,0.157,1.0,0.627,73.6,2226.0,297.0,195.0,0.422,0.371,3.0,556.5,28.0,0.597,1.0
Structured Collaborator,861.0,321.0,24.0,83.384,56.0,264.591,0.0325,4.0,0.0,5.0,34.4,51.956,31.0,1.0,64.6,348.8,169.5,14.0,2.744,0.393,5.0,19.0,12.0,18.828,3.084,59.0,0.058,0.0,11.0,10.0,11.0,17.0,0.401,4.0,1.095,0.242,0.692,0.141,0.543,0.733,50.0,2195.0,326.0,317.0,1.0,1.0,1.0,1097.5,18.0,1.0,0.365
AI-Dependent Constructor,35.294,75.0,1.0,89.907,116.0,308.0,4.0,0.0,0.0,6.0,29.1,5.0,2.0,23.6,61.7,412.4,155.5,38.4,0.01,0.156,8.0,12.197,38.577,3.0,1.07,98.1,0.15,0.0,4.0,22.0,7.0,17.0,0.757,0.0,0.452,0.288,1.0,0.346,0.756,0.093,27.0,1253.0,67.0,655.384,0.755,0.449,5.0,1.0,44.0,0.652,0.58
Independent Solver,1379.0,330.461,6.0,0.0,36.0,87.0,0.0,131.18,6.0,18.0,83.8,41.0,44.0,5.7,20.5,143.2,134.593,6.1,10.0,0.434,114.651,2.0,0.0,13.0,9.0,55.1,1.0,6.0,3.0,3.0,16.0,29.0,0.241,0.0,0.556,0.602,0.333,0.381,0.312,0.312,143.262,2913.0,364.184,1472.0,0.052,0.353,3.0,728.2,5.0,1.0,0.207
Structured Collaborator,825.0,289.0,16.0,0.0,127.367,68.0,0.0,0.0,0.0,1.0,41.815,21.0,12.0,9.6,46.459,239.0,86.9,23.5,1.0,0.371,0.372,15.0,12.0,9.525,0.0,40.5,0.073,0.0,28.478,13.007,37.0,70.0,0.321,3.0,0.23,0.143,0.843,0.109,1.0,0.614,78.7,2733.0,314.0,481.0,0.443,0.489,1.0,1366.5,22.0,0.415,0.362
Structured Collaborator,1002.0,415.0,13.0,24.203,65.0,105.0,0.012,6.0,2.0,3.144,73.2,62.0,61.0,7.0,82.909,163.9,112.819,22.4,6.415,0.353,1.439,25.0,18.0,3.0,0.0,37.8,0.4514674364338714,2.0,10.0,8.0,43.541,47.0,0.323,5.0,0.537,0.229,0.758,0.263,0.8980823550410667,0.709,298.074,2236.0,340.0,616.742,0.476,0.242,1.0,1118.0,12.0,0.345,0.386
Prompt Engineer Solver,1168.0,422.0,15.0,20.166,55.0,107.0,0.024,0.0,0.0,2.0,138.182,40.0,47.0,10.6,61.0,246.4,105.7,13.2,3.79,0.633,2.0,15.0,7.0,0.0,0.0,28.9,0.095,0.0,7.0,13.0,43.0,66.0,0.382,5.0,0.3,0.6839295842839308,0.45986086291701306,0.116,1.0,0.776,48.0,2476.0,310.0,227.0,0.381,0.563,1.0,1.0,19.0,0.556,0.572
Independent Solver,1236.0,522.0,3.0,9.0,60.195,50.0,0.0073,13.0,2.0,14.0,92.5,34.0,35.0,6.6,15.1,129.7,79.1,1.1,10.0,0.698,19.0,1.0,0.0,12.0,5.0,-8.464,0.471,6.92,0.0,0.0,23.563,17.0,0.256,0.0,0.332,0.623,0.311,0.269,0.577758065938996,0.341,28.0,3529.0,109.0,1624.0,0.178,0.06,4.0,1.0,0.0,0.178,0.175
Independent Solver,1314.0,501.0,3.0,3.0,30.0,71.0,0.0023,16.0,3.0,20.0,24.183,36.0,41.0,10.0,30.3,136.5,230.163,-6.7,10.0,0.695,28.0,6.0,3.0,11.0,4.0,38.9,0.678,5.0,0.0,0.0,5.0,10.0,0.151,0.0,0.514,0.582,0.387,0.14,0.177,0.385,42.5,2798.0,123.0,1404.0,0.158,0.329,10.0,254.4,0.0,0.185,0.15
Exploratory Learner,2125.0,831.0,7.0,1.0,12.798,39.0,0.0005,23.0,3.0,17.0,87.4,72.0,96.0,14.3,61.1,587.663,74.9,8.6,10.0,0.644,18.0,31.611,3.0,12.0,37.187,26.6,0.486,11.25,0.0,0.0,22.068,1.743,0.062,0.0,0.943,1.0,0.41416594627091724,0.354,0.203,0.362,38.6,3460.0,101.0,1756.0,0.155,0.395,12.0,266.2,0.0,0.29,0.333
Structured Collaborator,956.0,352.0,6.0,19.0,54.0,152.0,0.0199,13.0,4.0,3.0,51.1,44.0,37.0,15.6,68.2,234.8,152.9,17.5,4.654,0.195,3.0,27.0,15.0,2.0,0.0,28.8,0.197,0.0,12.0,10.0,63.682,41.0,0.591,5.0,0.526,0.274,0.648,0.12337362229894479,0.657,3.349,53.4,1.0,279.0,434.584,0.488,0.297,2.0,1039.7,21.0,0.538,0.498
AI-Dependent Constructor,27.22,0.0,10.0,47.0,158.0,471.0,4.2727,10.0,3.0,2.587,34.2,5.0,3.0,1.0,83.0,350.9,89.3,25.9,0.014616650738784211,0.259,1.0,23.0,6.311,2.0,0.0,94.8,0.07,0.0,4.0,23.0,10.0,13.0,0.745,1.0,0.224,0.295,1.0,0.216,0.959,0.026,3.1,833.0,37.0,245.0,1.0,0.571,1.0,1.0,36.0,1.0,0.647
Iterative Debugger,1538.0,607.0,10.0,14.0,0.0,0.0,0.0091,12.0,1.0,35.0,84.2,56.0,81.0,1.0,37.3,142.5,71.5,7.1,10.0,2.937,46.0,2.0,0.0,6.0,16.0,23.3,0.363,4.0,0.0,5.0,5.0,6.0,0.067,0.0,0.48,0.748,0.27147218267285417,0.468,0.25,0.388,35.3,1.0,649.714,1545.0,0.049,0.366,6.0,589.9,10.0,0.155,0.313996147442714
Structured Collaborator,610.0,214.0,70.269,0.0,84.0,101.0,0.0,3.0,0.0,6.0,130.304,25.0,104.227,5.3,25.0,463.871,245.592,17.9,1.0,0.335,8.0,17.0,49.769,1.0,2.0,105.986,0.094,0.0,8.0,16.0,20.0,50.0,0.664,4.0,1.244,0.182,1.0,0.388,0.774,0.885,55.4,2683.0,324.0,139.609,0.386,0.449,1.0,1341.5,133.408,0.568,0.594
Prompt Engineer Solver,722.0,300.0,17.0,22.0,75.0,127.0,0.013231376313279742,0.0,0.0,3.216,87.7,45.0,65.0,19.1,68.1,136.8,97.1,14.9,2.187,0.148,1.0,17.0,8.0,1.0,0.0,41.3,0.08,0.0,10.0,15.0,58.0,377.438,0.439,3.0,0.514,0.157,0.814,0.114,1.0,0.89,56.6,2955.0,234.0,562.0,0.326,0.412,1.0,1477.5,26.0,0.326,0.8293006253370272
Independent Solver,1854.0,707.0,0.0,8.0,51.444,54.0,0.0043,28.0,9.0,12.0,94.4,133.453,52.0,2.3,9.5,127.1,64.5,10.7,1.0,0.306,10.0,3.0,2.0,10.0,7.0,7.1,0.462,5.0,1.0,4.0,12.0,18.0,0.252,0.0,0.422,0.81,0.08020438334509729,0.314,0.282,0.38,15.0,2750.0,497.882,1569.0,0.098,0.079,12.0,211.5,5.0,0.14883710209057022,0.236
Prompt Engineer Solver,533.0,246.0,17.692,20.0,0.0,0.0,0.0375,10.0,3.0,6.0,53.007,17.0,19.0,9.7,204.112,624.92,101.1,36.9,1.0,0.319,8.0,15.0,3.0,0.0,2.0,53.0,0.167,0.0,10.0,17.0,81.0,178.0,0.45,5.0,0.596,0.122,0.865,0.213,0.628,0.749,57.4,1.0,288.0,245.0,1.0,0.594,1.0,1048.5,27.0,0.405,0.36
AI-Dependent Constructor,10.0,0.0,2.0,171.367,170.0,404.0,4.2727,0.0,0.0,11.16,25.9,23.436,7.0,22.2,82.7,463.3,92.8,41.3,0.006,0.601,5.0,11.0,4.0,1.0,1.0,110.2,0.098,0.0,4.0,27.0,31.0,72.0,0.17,0.0,0.295,0.224,0.716,0.252,0.789,0.033,-6.249,1129.0,55.0,97.0,0.739,0.285,8.0,125.4,43.0,0.678,0.563
Structured Collaborator,806.0,307.0,45.077,22.0,89.0,230.0,0.0273,7.0,1.0,8.0,193.014,38.0,23.0,16.4,43.7,354.019,240.837,21.7,2.057,0.276,6.0,16.0,7.0,3.0,3.541,48.7,0.104,0.0,28.337,10.0,9.0,20.0,0.425,3.0,0.518,0.194,0.768,0.344,1.0,0.873,56.9,2648.0,353.0,333.0,0.476,0.475,0.8851710687865861,882.7,24.0,0.56,0.478
Structured Collaborator,896.0,381.0,11.0,20.77,28.0,65.0,0.01,4.817,0.0,3.0,50.8,193.724,57.0,5.7,29.7,236.2,178.0,19.4,10.0,0.221,2.0,15.0,5.0,0.0,0.0,40.3,0.094,0.0,8.0,51.094,23.0,80.026,0.357,2.0,0.201,0.447627900813184,0.709,0.337,1.0,0.698,58.3,2279.0,339.0,229.0,0.369,0.255,1.0,1.0,26.0,0.3839230774765926,0.325
Prompt Engineer Solver,430.0,164.0,21.0,26.0,75.0,111.0,0.0603,8.0,2.0,8.0,52.9,20.0,19.0,9.6,53.9,226.8,115.0,15.6,0.848401791258986,0.611,7.0,17.0,8.0,9.418,2.0,32.085,0.124,0.0,8.0,10.0,215.128,83.0,0.254,3.0,0.55,0.185,0.729,0.323,0.516,0.628,61.7,3237.0,267.0,368.0,0.3,0.333,2.0,1079.0,61.7,0.327,0.379
Independent Solver,1553.0,571.0,5.0,0.0,45.081,138.0,0.0,14.0,4.0,18.0,87.9,51.0,50.0,0.6,5.42,136.5,34.7,8.7,10.0,0.709,51.346,5.0,1.0,11.0,7.0,-6.8,0.591,2.0,0.0,4.0,5.0,11.0,0.008,0.0,0.57,1.0,0.075,0.381,0.125,0.312,68.715,3279.0,318.007,1414.0,0.049,0.055,8.0,364.3,6.0,0.36440053086900714,0.186
Structured Collaborator,822.423,239.0,13.0,28.0,97.0,242.0,0.054700800618464156,0.0,0.0,9.0,102.934,31.0,45.0,2.7,14.7,332.4,201.435,11.4,0.95,0.399,11.0,16.0,10.0,1.656,1.129,141.229,0.104,0.0,12.0,11.0,33.0,54.0,0.472,4.0,0.908,0.266,0.697,0.12,0.465,0.862,60.8,1.0,267.0,120.0,0.377,0.485,2.0,935.7,13.0,0.314,0.328
Independent Solver,1853.0,792.0,4.0,3.0,16.0,37.0,0.0016,16.0,6.0,18.0,215.688,49.0,56.0,4.9,23.9,504.538,65.8,9.1,1.0,0.532,55.963,3.0,0.0,11.0,8.0,-13.5,0.648,4.0,1.152,1.0,17.082,11.0,0.054,0.0,0.555,1.0,0.322,0.216,0.5918625883625634,1.122,44.1,2160.0,168.0,1523.0,0.031,0.213,5.0,360.0,1.0,0.225,1.0
AI-Dependent Constructor,369.0,109.0,33.055,44.0,157.0,332.0,0.1189,7.0,4.713,9.0,11.2,12.0,7.0,19.3,40.2,1071.4,431.4,44.1,0.9017587050759013,0.35,8.0,16.0,9.0,8.0,3.0,76.3,0.135,0.0,0.0,23.0,22.0,37.0,0.749,1.0,0.504,0.289,0.643,0.262,0.805,0.098,-2.3,831.0,66.0,10.0,0.701,0.241,1.0,166.2,34.0,0.501,0.441
AI-Dependent Constructor,272.0,40.0,1.0,52.0,168.0,442.0,0.1905,0.0,0.0,5.0,23.2,16.0,11.0,23.1,90.5,1835.455,993.236,40.2,0.156,0.399,5.0,13.0,24.258,4.0,0.0,124.1,0.121,0.0,1.0,28.0,7.0,11.0,0.623,4.255,0.31,0.129,0.806,0.264,0.579,0.016,10.2,1.0,64.0,10.0,0.634,0.39,7.0,201.6,61.0,0.611,0.698
Structured Collaborator,1304.505,1441.668,24.0,22.0,72.0,184.0,0.0206,2.0,0.0,7.0,65.6,56.0,73.0,15.4,36.6,182.9,126.886,66.956,3.369,0.39,8.0,18.0,13.0,0.0,3.0,112.214,0.171,0.0,10.0,13.0,15.0,64.148,0.619,4.0,1.083,0.155,0.809,0.391,0.526,1.697,67.2,2022.0,328.0,182.0,0.39,0.455,2.0,674.0,107.728,0.315,0.4168879804465651
Exploratory Learner,1382.0,603.0,0.0,17.0,42.0,92.0,0.0123,23.0,6.0,19.0,400.329,41.0,55.0,1.6,16.429,117.8,83.7,-2.3,9.664,0.555,15.0,6.0,5.0,11.0,2.0,13.768,0.642,3.0,1.0,5.0,8.0,10.0,0.214,0.0,0.299,0.88,0.074,1.0,0.401,0.218,55.5,3353.0,109.0,1433.0,0.148,0.32852931664073226,4.0,670.6,7.0,0.272,0.301
Structured Collaborator,962.0,270.0,10.0,6.0,87.0,108.0,0.0062,9.0,3.0,6.0,56.2,34.0,33.0,16.0,45.3,101.344,121.1,14.3,9.197,0.195,8.0,22.0,10.0,0.0,2.0,38.2,0.066,0.0,9.0,12.0,36.0,77.0,0.543,4.0,1.134,0.12045506622722268,0.717,0.272,0.55,0.686,64.6,2402.0,319.0,364.0,0.381,0.583,1.0,1201.0,20.0,0.331,0.316
Blind Copier,10.0,22.0,30.626,36.0,403.0,3001.0,3.2727,8.0,1.0,7.0,5.0,5.0,13.516,26.0,502.163,2400.0,6800.633,45.3,0.009934633421480299,0.361,10.0,25.0,22.374,2.0,3.0,70.4,0.11,0.0,2.0,19.0,41.0,64.0,0.865,1.0,0.474,0.25,0.655,0.227,0.936,0.053,-1.0,1005.0,38.0,78.0,0.844,0.219,5.0,167.5,177.253,0.598,1.0
Structured Collaborator,402.0,228.0,3.0,6.0,51.0,66.0,0.0149,2.0,0.0,3.0,57.2,11.0,6.0,16.5,66.8,209.8,144.8,9.0,6.547,0.224,4.0,16.0,8.0,2.0,1.0,58.5,0.078,0.0,12.0,16.376,20.0,87.115,2.124,4.0,0.511,0.14048021799303173,0.786,0.294,0.565,0.737,49.5,2525.0,756.94,378.0,0.509,0.41,1.0,841.7,28.0,0.485,1.0
Independent Solver,1496.0,592.0,7.0,0.0,50.0,110.0,0.0,94.073,3.0,15.0,83.7,57.0,197.683,1.8,5.6,143.4,382.483,-0.6,10.0,0.572,71.204,13.0,4.0,17.0,5.0,-5.7,0.335,4.0,0.0,0.0,44.0,100.0,0.142,1.0,0.292,0.792,0.156,0.231,0.296,0.394,64.4,2767.0,138.0,2753.927,0.078,0.2183390430013,2.0,1.0,0.0,0.234,0.41295106125728903
Iterative Debugger,2079.0,768.0,0.0,26.0,11.0,32.0,0.0125,19.0,7.0,47.792,66.9,92.0,63.0,10.2,183.177,179.4,42.2,8.4,10.0,0.441,42.0,6.0,4.0,38.617,28.934,20.3,0.628,5.0,2.0,0.0,5.0,13.0,0.016,1.0,0.965,0.792,0.5831209855809085,0.584,0.292,0.324,27.1,3727.0,105.0,1336.0,0.034,0.11283583281649244,13.0,266.2,0.0,0.213,0.192
Structured Collaborator,913.0,374.0,16.0,5.0,40.0,203.927,0.0055,12.348,1.0,2.0,114.739,33.0,29.0,5.9,17.4,174.4,110.7,32.2,10.0,0.132,2.0,15.977,2.067,0.0,0.0,68.9,0.055,0.0,10.0,8.0,7.0,15.715,0.385,5.0,0.577,0.271,0.702,0.161,0.57,0.614,201.776,2232.0,631.313,352.0,0.344,0.367,3.0,1.0,15.0,0.467,1.0
Structured Collaborator,1021.0,353.0,6.0,30.0,69.0,686.014,0.0294,0.0,0.0,4.0,69.3,31.0,40.0,10.2,59.4,173.2,39.1,8.2,2.465,0.376,4.0,23.0,7.0,6.0,2.0,45.7,0.129,0.0,9.0,40.637,21.0,33.0,0.342,6.0,0.363,0.254,0.668,0.179,0.638,0.605,71.4,2572.0,258.0,321.0,0.514,0.423,2.0,857.3,14.0,0.331,0.29
AI-Dependent Constructor,10.0,108.0,20.163,206.934,185.0,589.021,4.0909,8.0,0.0,1.0,5.8,5.0,3.0,27.1,17.793,1158.922,914.7,44.0,0.006,0.253,0.629,17.0,11.943,0.0,0.0,103.9,0.17415357954907912,0.0,1.0,27.0,20.0,53.0,0.678,1.434,0.59,0.173,0.747,0.252,0.93,0.052,14.4,951.0,21.0,185.0,0.829,1.0,8.0,105.7,64.0,0.709,0.816
Independent Solver,1655.0,3019.888,0.0,0.0,0.0,0.0,0.0,41.452,4.947,15.0,117.0,46.0,272.349,1.0,25.7,102.6,33.7,8.1,10.0,0.599,35.113,5.0,2.0,8.0,8.0,127.829,0.615,5.0,2.0,1.0,14.0,39.0,0.067,0.0,0.5,0.882,0.093,0.269,0.161,1.345,30.8,2666.0,171.0,1381.0,0.008,0.111,4.0,533.2,1.0,0.292,0.326
Prompt Engineer Solver,1201.0,1762.353,6.0,15.0,60.0,101.0,0.0125,4.0,1.0,3.0,60.0,178.671,27.0,13.5,53.2,200.0,121.1,66.278,6.665,0.204,3.0,61.304,10.0,5.206,0.0,57.4,0.067,0.0,9.0,16.0,56.0,105.0,0.428,3.0,0.282,0.109,0.881,0.131,0.521,0.8,74.1,3483.0,1279.38,384.0,0.403,0.251,4.0,696.6,38.0,0.559,0.571
Iterative Debugger,6496.493,2788.735,6.0,2.0,10.926,5.0,0.0012,18.0,4.0,37.0,95.1,68.0,60.0,12.3,67.0,126.2,61.0,65.696,10.0,0.639,34.0,3.0,2.0,12.0,14.0,9.576,0.581,4.0,2.0,3.0,28.0,43.0,0.17,0.0,0.531,0.567,0.6883830189498499,0.768,0.35496982999866405,0.427,26.7,4278.0,137.0,1675.0,0.014,0.288,8.0,1.0,4.0,0.169,0.196
Prompt Engineer Solver,897.0,393.0,7.0,24.0,65.0,140.0,0.0267,7.434,0.0,3.0,75.7,23.0,8.974,11.6,26.8,158.5,37.6,10.2,2.873,0.314,2.0,23.0,10.296,7.0,0.0,174.636,0.077,0.0,2.738,10.0,63.0,156.432,0.294,5.0,0.515,0.13548697038258042,0.76,0.264,0.682,0.801,26.869,2961.0,1337.222,327.0,0.513,0.572,3.0,740.2,32.382,0.558,0.593
Prompt Engineer Solver,596.0,635.052,10.0,17.0,0.0,0.0,0.0285,2.0,0.0,1.0,48.3,15.0,11.0,11.8,54.2,248.4,312.754,7.5,10.0,0.304,3.081,18.0,4.0,3.0,0.0,71.2,0.173,1.0,11.197,8.0,58.0,77.0,0.454,5.0,0.238,0.243,0.73,0.324,0.562,0.754,25.926,2976.0,316.0,1316.629,1.0,0.535,4.0,595.2,37.463,0.514,0.471
Structured Collaborator,428.0,178.0,21.0,35.0,85.0,211.0,0.0816,6.0,2.0,1.0,46.3,21.0,26.0,6.9,17.7,259.2,437.117,25.3,0.719,0.215,1.0,18.0,11.0,0.0,0.0,73.2,0.2,0.0,5.0,6.117,5.0,10.0,0.276,4.0,0.578,0.157,0.778,0.246,0.398,0.82,47.6,2659.0,311.0,379.0,0.458,0.532,4.0,1.0,17.0,0.406,0.447
AI-Dependent Constructor,1068.304,95.0,1.0,43.0,200.0,462.0,0.14938206269401821,11.0,2.191,1.0,52.911,11.0,8.0,1.0,121.4,489.8,1161.843,21.3,0.5255582704201135,0.242,1.0,17.0,10.0,4.0,0.0,75.9,0.071,0.0,2.0,26.0,22.0,50.0,0.65,1.0,0.219,0.113,0.882,0.04652524588537368,0.728,0.105,23.8,1.0,16.0,60.0,0.761,0.274,6.0,93.7,51.0,0.568,0.503
